imt     sigma_mu_m8_shallow   sigma_mu_m8_intermediate   sigma_mu_m8_deep   sigma_mu_m7p4_shallow   sigma_mu_m7p4_intermediate   sigma_mu_m7p4_deep
pgv                  0.2865                     0.2829             0.2814                  0.2108                       0.2072               0.2057
pga                  0.3040                     0.3003             0.2986                  0.2250                       0.2213               0.2197
0.010                0.3039                     0.3002             0.2986                  0.2250                       0.2213               0.2197
0.025                0.3026                     0.2988             0.2972                  0.2243                       0.2205               0.2189
0.040                0.3010                     0.2972             0.2955                  0.2241                       0.2203               0.2186
0.050                0.3053                     0.3014             0.2997                  0.2278                       0.2239               0.2222
0.070                0.3133                     0.3093             0.3076                  0.2340                       0.2301               0.2284
0.100                0.3219                     0.3179             0.3162                  0.2403                       0.2364               0.2346
0.150                0.3199                     0.3159             0.3141                  0.2377                       0.2337               0.2319
0.200                0.3174                     0.3134             0.3117                  0.2343                       0.2303               0.2285
0.250                0.3118                     0.3078             0.3061                  0.2297                       0.2257               0.2240
0.300                0.3094                     0.3055             0.3038                  0.2275                       0.2236               0.2220
0.350                0.3038                     0.2999             0.2982                  0.2230                       0.2191               0.2174
0.400                0.2989                     0.2950             0.2933                  0.2197                       0.2157               0.2140
0.450                0.2964                     0.2926             0.2909                  0.2180                       0.2142               0.2125
0.500                0.2916                     0.2878             0.2861                  0.2145                       0.2106               0.2090
0.600                0.2897                     0.2860             0.2844                  0.2131                       0.2094               0.2078
0.700                0.2888                     0.2852             0.2836                  0.2124                       0.2088               0.2072
0.750                0.2902                     0.2867             0.2851                  0.2134                       0.2098               0.2083
0.800                0.2923                     0.2888             0.2873                  0.2147                       0.2112               0.2097
0.900                0.2948                     0.2915             0.2900                  0.2165                       0.2132               0.2117
1.000                0.2964                     0.2932             0.2918                  0.2175                       0.2142               0.2128
1.200                0.2961                     0.2930             0.2917                  0.2170                       0.2139               0.2126
1.400                0.3019                     0.2990             0.2977                  0.2211                       0.2182               0.2169
1.600                0.3041                     0.3013             0.3000                  0.2225                       0.2197               0.2184
1.800                0.3060                     0.3032             0.3020                  0.2235                       0.2207               0.2195
2.000                0.3094                     0.3067             0.3055                  0.2258                       0.2231               0.2219
2.500                0.3121                     0.3095             0.3083                  0.2275                       0.2249               0.2237
3.000                0.3279                     0.3254             0.3243                  0.2392                       0.2366               0.2355
3.500                0.3256                     0.3230             0.3219                  0.2378                       0.2351               0.2339
4.000                0.3269                     0.3243             0.3232                  0.2386                       0.2359               0.2348
4.500                0.3483                     0.3456             0.3444                  0.2537                       0.2510               0.2498
5.000                0.3525                     0.3498             0.3486                  0.2567                       0.2539               0.2527
6.000                0.3458                     0.3422             0.3406                  0.2514                       0.2478               0.2462
7.000                0.3453                     0.3417             0.3402                  0.2513                       0.2477               0.2461
8.000                0.3428                     0.3392             0.3376                  0.2497                       0.2460               0.2444
